,w1,w2,ZC,ZT,Z
0,0.0,1.0,4666267914186.481,100,100000000.0
1,0.02040816326530612,0.9795918367346939,4632510712240.005,99,208.6921256526063
2,0.04081632653061224,0.9591836734693877,4542473917958.58,100,95918377.6348404
3,0.061224489795918366,0.9387755102040817,4710086477649.254,100,93877563.29943049
4,0.08163265306122448,0.9183673469387755,4600732054105.238,100,91836747.73300928
5,0.1020408163265306,0.8979591836734694,4640847122986.268,100,89795940.81171441
6,0.12244897959183673,0.8775510204081632,4470940020120.183,100,87755139.88859138
7,0.14285714285714285,0.8571428571428572,4638243999556.677,100,85714322.79235543
8,0.16326530612244897,0.8367346938775511,4605927376597.532,100,83673498.69230174
9,0.18367346938775508,0.8163265306122449,4603067317137.033,100,81632687.79872026
10,0.2040816326530612,0.7959183673469388,4640163471500.678,100,79591879.41287349
11,0.22448979591836732,0.7755102040816326,4604881278493.549,100,77551062.62833771
12,0.24489795918367346,0.7551020408163265,4637197291084.469,100,75510434.37528312
13,0.26530612244897955,0.7346938775510204,4635943063194.425,100,73469434.57403208
14,0.2857142857142857,0.7142857142857143,4560726603427.192,100,71428624.32577975
15,0.3061224489795918,0.6938775510204083,4609664864262.7705,99,539.3374436463511
16,0.32653061224489793,0.6734693877551021,4620058409580.642,100,67346995.77144495
17,0.3469387755102041,0.653061224489796,4550050027443.209,99,225.96862078200093
18,0.36734693877551017,0.6326530612244898,4668949360092.9795,100,63265429.49624001
19,0.3877551020408163,0.6122448979591837,4657608920530.73,99,503.94381943585466
20,0.4081632653061224,0.5918367346938775,4513976550479.315,100,59183775.77355273
21,0.42857142857142855,0.5714285714285714,4615203770140.437,100,57142932.86056536
22,0.44897959183673464,0.5510204081632654,4545160339673.084,100,55102153.106954545
23,0.4693877551020408,0.5306122448979592,4625927601465.493,100,53061333.97751921
24,0.4897959183673469,0.5102040816326531,4658893398953.879,100,51020506.46178991
25,0.5102040816326531,0.4897959183673469,4570959657516.026,100,48979721.370094016
26,0.5306122448979591,0.4693877551020409,4575910393960.803,100,46938901.71344512
27,0.5510204081632653,0.44897959183673475,4553984424228.012,100,44898107.48469613
28,0.5714285714285714,0.4285714285714286,4688804541882.826,100,42857272.21562392
29,0.5918367346938775,0.40816326530612246,4607900762251.546,100,40816469.50228686
30,0.6122448979591836,0.3877551020408164,4487568622516.619,100,38775622.05854556
31,0.6326530612244897,0.3673469387755103,4547686039880.154,100,36734929.719424196
32,0.6530612244897959,0.34693877551020413,4489287347573.285,100,34694071.27003629
33,0.673469387755102,0.326530612244898,4536080282922.324,100,32653171.224727876
34,0.6938775510204082,0.30612244897959184,4589104590698.205,100,30612436.788640976
35,0.7142857142857142,0.2857142857142858,4442245531999.4,100,28571573.78159244
36,0.7346938775510203,0.26530612244897966,4465060291727.762,100,26530768.884777118
37,0.7551020408163265,0.24489795918367352,4531236323605.34,100,24489949.98391811
38,0.7755102040816326,0.22448979591836737,4630756698878.86,100,22449116.805618424
39,0.7959183673469387,0.20408163265306134,4398408875856.5625,100,20408296.735729437
40,0.8163265306122448,0.1836734693877552,4481280179769.541,100,18367495.874045473
41,0.836734693877551,0.16326530612244905,4475534720297.488,100,186.20329718466758
42,0.8571428571428571,0.1428571428571429,4565154762723.475,100,14285889.746965546
43,0.8775510204081632,0.12244897959183676,4649015479907.989,100,12245164.417757716
44,0.8979591836734693,0.10204081632653073,4508125593934.324,100,10204253.594718738
45,0.9183673469387754,0.08163265306122458,4533182549599.461,100,8163473.786540456
46,0.9387755102040816,0.061224489795918435,4612887878637.086,100,6122711.056773123
47,0.9591836734693877,0.04081632653061229,4583110615735.008,100,198.06440746251133
48,0.9795918367346939,0.020408163265306145,4392147882620.187,100,2040933.2135327095
49,1.0,0.0,4564008557449.053,100,218.12548290106156
